Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
15-May-18,2709.00,2728.50,2731.25,2700.50,1.52M,-0.81%,"2,675.86",2739.610457,2612.114543,-22,7.5625,-7.4375,1.016806723,50.41666667
14-May-18,2731.00,2727.25,2741.25,2724.25,945.96K,0.05%,"2,675.74",2739.221123,2612.253877,1.5,8.8,-6.3375,1.388560158,58.13377374
11-May-18,2729.50,2716.25,2732.50,2716.25,1.07M,0.40%,"2,673.28",2731.320785,2615.229215,10.75,9.95,-6.3375,1.570019724,61.08979279
10-May-18,2718.75,2696.00,2725.00,2692.75,1.17M,0.84%,"2,669.66",2721.651941,2617.673059,22.75,9.4125,-6.675,1.41011236,58.50815851
9-May-18,2696.00,2669.75,2700.00,2666.50,1.25M,0.96%,"2,666.93",2713.517042,2620.332958,25.75,9.425,-6.675,1.411985019,58.54037267
8-May-18,2670.25,2668.00,2674.25,2652.25,1.28M,0.01%,"2,664.18",2710.028055,2618.321945,0.25,8.1375,-7.375,1.103389831,52.45769541
7-May-18,2670.00,2662.75,2681.50,2661.25,1.15M,0.26%,"2,663.41",2709.347315,2617.477685,7,9.925,-7.375,1.345762712,57.3699422
4-May-18,2663.00,2631.75,2669.50,2612.25,1.70M,1.19%,"2,660.86",2710.749867,2610.975133,31.25,10.2375,-7.375,1.388135593,58.12633073
3-May-18,2631.75,2626.75,2636.25,2591.25,2.15M,0.16%,"2,658.00",2713.61238,2602.38762,4.25,8.675,-10.175,0.852579853,46.02122016
2-May-18,2627.50,2655.50,2658.50,2624.25,1.43M,-0.93%,"2,659.50",2713.732443,2605.267557,-24.75,9.2,-10.175,0.904176904,47.48387097
1-May-18,2652.25,2646.25,2658.00,2623.25,1.32M,0.20%,"2,660.48",2712.958055,2607.991945,5.25,10.8875,-8.9375,1.218181818,54.91803279
30-Apr-18,2647.00,2670.50,2682.25,2645.00,1.34M,-0.92%,"2,658.53",2715.038133,2602.011867,-24.5,12.5375,-8.9375,1.402797203,58.38183935
